lode,tonnes,grade_gt,resource_class,status,cutoff_gt
134-L1,320.1,4.03,Measured,Premined,1.0
134-L5,617.3,5.64,Measured,Premined,2.0
134-L2,2625.7,1.29,Measured,Unmined,5.0
134-L4,1258.1,7.48,Measured,Premined,4.0
134-L3,1533.8,3.37,Indicated,Premined,1.0
134-L4,664.2,10.32,Inferred,Mined,1.0
134-L4,2773.9,11.7,Indicated,Premined,5.0
134-L3,4181.1,7.8,Indicated,Unmined,2.0
134-L1,420.0,3.51,Indicated,Premined,2.0
134-L1,2024.6,5.99,Indicated,Premined,3.0
134-L3,1205.6,3.94,Inferred,Unmined,1.0
134-L5,3247.9,6.88,Measured,Premined,4.0
134-L4,1495.7,11.18,Inferred,Unmined,2.0
134-L3,4245.7,9.54,Measured,Premined,3.0
134-L4,1485.2,3.32,Inferred,Unmined,3.0
134-L2,3346.1,5.35,Inferred,Mined,2.0
134-L3,870.2,9.19,Inferred,Mined,5.0
134-L4,4509.5,5.39,Measured,Premined,5.0
134-L4,636.4,1.52,Measured,Premined,2.0
134-L4,3062.8,5.23,Inferred,Mined,5.0
134-L3,4861.2,10.47,Measured,Unmined,1.0
134-L5,3804.2,9.45,Indicated,Premined,3.0
134-L4,959.2,1.04,Inferred,Unmined,3.0
134-L5,3857.4,6.58,Measured,Unmined,3.0
134-L5,3123.1,2.68,Measured,Unmined,5.0
134-L1,3074.9,6.37,Measured,Mined,3.0
134-L2,478.0,10.66,Measured,Premined,4.0
134-L1,4894.3,6.86,Measured,Premined,4.0
134-L5,992.6,6.8,Inferred,Mined,2.0
134-L5,3825.3,8.59,Inferred,Mined,4.0
134-L3,2302.9,6.69,Measured,Premined,2.0
134-L1,1822.8,7.47,Measured,Unmined,2.0
134-L1,540.8,7.94,Measured,Premined,1.0
134-L3,540.1,3.62,Inferred,Mined,2.0
134-L5,835.1,11.29,Inferred,Unmined,4.0
134-L2,3966.2,9.88,Measured,Premined,1.0
134-L4,1900.6,5.52,Inferred,Premined,1.0
134-L1,2132.6,4.73,Measured,Premined,2.0
134-L2,2774.2,2.54,Measured,Mined,4.0
134-L2,4397.5,1.83,Inferred,Premined,1.0
134-L5,4212.9,11.66,Measured,Premined,4.0
134-L4,2510.5,10.51,Measured,Premined,4.0
134-L1,4929.5,3.92,Indicated,Mined,4.0
134-L5,3377.0,6.35,Measured,Mined,2.0
134-L1,2980.1,6.96,Inferred,Mined,1.0
134-L1,3004.1,6.53,Inferred,Premined,1.0
134-L5,584.5,3.04,Inferred,Premined,2.0
134-L4,775.5,10.79,Measured,Unmined,5.0
134-L1,3173.0,5.61,Inferred,Unmined,5.0
134-L3,4686.6,3.25,Inferred,Mined,2.0
134-L3,2099.8,8.39,Indicated,Mined,3.0
134-L1,244.7,7.83,Inferred,Premined,1.0
134-L5,1223.1,3.92,Indicated,Premined,2.0
134-L3,1567.9,5.82,Inferred,Unmined,3.0
134-L5,4922.5,9.88,Inferred,Premined,5.0
134-L3,4672.4,2.14,Measured,Mined,1.0
134-L1,3763.6,2.71,Indicated,Unmined,2.0
134-L3,1177.3,7.98,Indicated,Unmined,4.0
134-L3,4545.6,10.31,Measured,Unmined,4.0
134-L3,411.6,4.67,Measured,Unmined,3.0
134-L2,3757.9,7.07,Indicated,Unmined,1.0
134-L1,561.2,10.71,Measured,Unmined,1.0
134-L3,2996.0,2.63,Measured,Premined,3.0
134-L3,4515.1,9.76,Measured,Mined,2.0
134-L2,3401.3,4.89,Inferred,Mined,5.0
134-L2,4643.7,3.6,Measured,Premined,4.0
134-L1,1060.9,11.17,Indicated,Unmined,2.0
134-L3,964.1,8.71,Indicated,Premined,4.0
134-L2,1157.9,11.1,Indicated,Mined,2.0
134-L2,313.6,3.12,Indicated,Mined,1.0
134-L3,1885.5,6.6,Inferred,Unmined,3.0
134-L1,753.6,11.67,Measured,Unmined,3.0
134-L1,720.3,5.78,Inferred,Mined,4.0
134-L5,4924.3,2.27,Inferred,Premined,3.0
134-L1,3602.2,1.02,Inferred,Unmined,2.0
134-L3,2270.2,11.44,Indicated,Unmined,3.0
134-L1,3654.8,4.3,Indicated,Unmined,4.0
134-L3,2131.5,4.25,Measured,Premined,4.0
134-L4,3451.1,10.93,Inferred,Unmined,3.0
134-L4,2830.1,1.0,Indicated,Premined,4.0
134-L5,3112.0,4.54,Indicated,Mined,2.0
134-L5,2471.3,10.91,Inferred,Premined,1.0
134-L3,2674.2,7.96,Indicated,Premined,2.0
134-L3,1278.3,3.19,Measured,Premined,2.0
134-L4,3134.1,9.45,Indicated,Mined,5.0
134-L2,3648.1,5.22,Indicated,Premined,2.0
134-L1,4484.8,10.46,Measured,Mined,2.0
134-L2,4059.7,8.66,Indicated,Premined,5.0
134-L2,4603.9,2.33,Measured,Mined,5.0
134-L5,3058.2,11.45,Indicated,Unmined,5.0
134-L4,4186.7,7.03,Measured,Unmined,4.0
134-L4,1444.1,3.72,Inferred,Mined,5.0
134-L4,3208.4,4.02,Measured,Unmined,3.0
134-L2,1504.2,4.52,Inferred,Premined,2.0
134-L2,1310.1,8.63,Inferred,Premined,1.0
134-L4,2156.5,6.97,Indicated,Premined,2.0
134-L4,2069.5,9.47,Inferred,Premined,5.0
134-L4,2489.5,11.37,Indicated,Mined,4.0
134-L5,3788.1,7.01,Inferred,Premined,4.0
134-L2,1510.1,6.34,Indicated,Mined,4.0
134-L2,4234.4,11.11,Inferred,Unmined,1.0
134-L4,3041.1,8.29,Measured,Unmined,4.0
134-L2,4360.9,3.0,Indicated,Mined,3.0
134-L2,2382.6,4.71,Indicated,Mined,4.0
134-L3,4207.6,6.17,Inferred,Unmined,1.0
134-L3,1276.3,1.75,Inferred,Premined,1.0
134-L2,1156.9,1.22,Measured,Premined,2.0
134-L4,3413.4,7.2,Measured,Mined,3.0
134-L3,1005.4,7.68,Inferred,Unmined,1.0
134-L2,4830.7,2.19,Measured,Mined,5.0
134-L4,2103.9,8.87,Measured,Unmined,2.0
134-L1,3546.5,4.32,Inferred,Unmined,1.0
134-L5,3956.6,4.82,Indicated,Unmined,3.0
134-L1,2628.6,4.75,Indicated,Mined,1.0
134-L4,4811.8,7.99,Indicated,Unmined,2.0
134-L4,1045.5,6.74,Inferred,Mined,5.0
134-L5,3918.3,6.11,Inferred,Unmined,3.0
134-L3,4288.2,10.14,Measured,Mined,4.0
134-L2,3802.3,7.27,Inferred,Mined,3.0
134-L1,2572.7,4.58,Indicated,Premined,3.0
134-L3,1833.6,10.68,Inferred,Mined,5.0
134-L1,2679.8,3.1,Measured,Unmined,4.0
134-L4,2864.8,3.64,Indicated,Unmined,4.0
134-L4,4006.1,2.02,Measured,Mined,2.0
134-L3,3387.0,5.06,Inferred,Unmined,3.0
134-L4,4983.8,7.05,Indicated,Unmined,4.0
134-L3,1671.8,3.54,Inferred,Premined,3.0
134-L1,3765.8,11.46,Inferred,Premined,2.0
134-L2,3745.3,4.04,Inferred,Unmined,5.0
134-L3,4906.5,10.16,Indicated,Premined,3.0
134-L2,1650.9,8.79,Measured,Mined,1.0
134-L1,2856.1,8.67,Measured,Unmined,4.0
134-L1,4389.1,7.31,Indicated,Mined,4.0
134-L3,1084.9,1.57,Indicated,Premined,1.0
134-L4,2560.4,7.35,Inferred,Premined,2.0
134-L2,4093.5,11.44,Measured,Premined,1.0
134-L5,3869.3,7.67,Inferred,Premined,5.0
134-L4,2362.5,5.87,Inferred,Mined,3.0
134-L5,3180.9,7.71,Inferred,Premined,2.0
134-L2,1470.3,1.89,Measured,Premined,5.0
134-L1,951.4,5.49,Inferred,Unmined,4.0
134-L3,356.7,4.17,Indicated,Unmined,4.0
134-L1,3499.4,11.16,Inferred,Unmined,2.0
134-L4,750.9,3.47,Measured,Mined,2.0
134-L1,486.3,9.72,Inferred,Unmined,5.0
134-L3,2307.9,6.16,Indicated,Unmined,4.0
134-L3,2602.3,6.43,Measured,Unmined,1.0
134-L4,3725.8,7.64,Measured,Premined,2.0
134-L5,3018.2,1.23,Inferred,Mined,5.0
134-L1,3862.9,2.93,Inferred,Unmined,4.0
134-L3,1071.1,7.44,Inferred,Mined,1.0
134-L4,1870.2,4.67,Inferred,Premined,2.0
134-L3,2175.9,6.45,Inferred,Mined,5.0
134-L1,2383.2,4.46,Indicated,Premined,4.0
134-L5,4159.7,1.01,Inferred,Mined,4.0
134-L1,1100.4,4.98,Indicated,Unmined,4.0
134-L1,1177.1,7.04,Indicated,Mined,4.0
134-L1,338.6,7.93,Measured,Unmined,2.0
134-L3,2844.0,7.07,Measured,Premined,1.0
134-L4,4745.9,8.12,Measured,Mined,3.0
134-L5,3586.0,5.57,Indicated,Mined,2.0
134-L4,2846.1,5.22,Inferred,Unmined,2.0
134-L1,1526.0,9.69,Indicated,Mined,5.0
134-L3,4138.6,4.11,Indicated,Unmined,5.0
134-L4,4353.3,5.91,Indicated,Mined,3.0
134-L5,3861.8,5.15,Indicated,Premined,2.0
134-L5,2038.3,10.42,Indicated,Premined,3.0
134-L4,3585.1,9.93,Indicated,Unmined,2.0
134-L4,4831.2,2.39,Inferred,Mined,1.0
134-L4,678.6,11.01,Measured,Unmined,2.0
134-L4,4380.5,11.67,Measured,Mined,3.0
134-L3,3191.6,5.37,Measured,Mined,5.0
134-L4,4779.9,7.89,Indicated,Unmined,1.0
134-L5,528.4,7.94,Indicated,Premined,1.0
134-L4,4896.0,9.36,Inferred,Premined,4.0
134-L2,3531.2,10.94,Measured,Mined,1.0
134-L3,1920.6,5.74,Measured,Unmined,4.0
134-L5,3472.6,2.98,Measured,Premined,5.0
134-L4,3174.6,3.65,Inferred,Premined,2.0
134-L4,3261.9,6.06,Inferred,Premined,4.0
134-L3,3452.5,2.74,Indicated,Mined,5.0
134-L3,3266.9,5.67,Indicated,Mined,3.0
134-L2,4997.0,10.39,Measured,Premined,4.0
134-L5,1923.0,4.25,Inferred,Mined,1.0
134-L4,1517.5,7.23,Inferred,Unmined,1.0
134-L5,3776.8,10.16,Indicated,Premined,5.0
134-L3,1251.2,3.09,Indicated,Unmined,2.0
134-L1,4536.3,8.11,Indicated,Mined,1.0
134-L5,1951.3,2.45,Indicated,Mined,4.0
134-L2,1163.8,9.65,Indicated,Unmined,5.0
134-L3,4186.3,3.83,Indicated,Mined,3.0
134-L1,2448.0,1.83,Measured,Unmined,4.0
134-L5,1955.7,9.7,Measured,Mined,5.0
134-L1,2383.0,8.4,Inferred,Mined,5.0
134-L4,4147.6,11.34,Measured,Unmined,2.0
134-L4,320.1,10.73,Inferred,Mined,5.0
134-L2,3308.7,7.99,Indicated,Unmined,3.0
134-L4,760.0,1.5,Measured,Mined,4.0
134-L1,666.5,10.76,Measured,Mined,4.0
134-L3,3418.3,9.17,Inferred,Mined,5.0
134-L2,4450.0,8.2,Indicated,Unmined,4.0
