lode,tonnes,grade_gt,resource_class,status,cutoff_gt
Kara-S,4950.9,2.13,Inferred,Premined,3.0
Kara-N,2358.7,4.83,Measured,Mined,1.0
Kara-S,1207.4,9.11,Inferred,Mined,5.0
Kara-W,996.7,2.53,Measured,Premined,1.0
Kara-E,2754.9,7.57,Measured,Mined,3.0
Kara-E,2949.1,11.48,Inferred,Unmined,1.0
Kara-S,4821.3,9.64,Measured,Mined,2.0
Kara-S,1398.5,8.83,Measured,Unmined,4.0
Kara-W,882.4,7.96,Inferred,Mined,4.0
Kara-W,562.5,9.74,Measured,Mined,5.0
Kara-E,3534.6,10.65,Indicated,Mined,3.0
Kara-N,4370.8,10.32,Measured,Unmined,4.0
Kara-E,4280.5,9.75,Indicated,Premined,4.0
Kara-S,2574.6,4.55,Indicated,Mined,5.0
Kara-S,2917.5,6.34,Indicated,Unmined,1.0
Kara-N,678.0,9.62,Indicated,Premined,1.0
Kara-S,2318.2,1.01,Indicated,Premined,2.0
Kara-E,963.1,11.26,Indicated,Premined,3.0
Kara-E,595.6,8.31,Inferred,Premined,1.0
Kara-W,3202.9,8.99,Measured,Mined,1.0
Kara-N,205.2,6.24,Measured,Unmined,2.0
Kara-W,244.6,8.65,Measured,Mined,2.0
Kara-W,540.0,5.21,Inferred,Premined,1.0
Kara-E,1964.3,4.29,Indicated,Premined,2.0
Kara-N,2746.4,1.09,Inferred,Premined,4.0
Kara-E,3667.7,7.91,Measured,Mined,5.0
Kara-W,4327.8,1.95,Measured,Premined,1.0
Kara-W,1887.4,5.72,Measured,Premined,3.0
Kara-N,1391.2,7.61,Inferred,Unmined,3.0
Kara-N,4269.9,8.24,Indicated,Premined,5.0
Kara-S,3789.6,4.25,Measured,Premined,4.0
Kara-W,741.2,6.5,Inferred,Premined,5.0
Kara-N,4937.0,11.27,Measured,Mined,5.0
Kara-W,1954.0,8.51,Indicated,Premined,1.0
Kara-N,266.2,3.37,Measured,Mined,5.0
Kara-E,3217.1,6.51,Indicated,Mined,4.0
Kara-N,3274.6,6.91,Measured,Mined,1.0
Kara-E,579.3,11.13,Measured,Unmined,3.0
Kara-W,3014.9,9.4,Inferred,Unmined,1.0
Kara-E,3553.6,9.03,Measured,Premined,2.0
Kara-N,4638.2,2.28,Inferred,Unmined,1.0
Kara-E,3397.2,8.24,Measured,Premined,1.0
Kara-S,3567.2,2.8,Indicated,Unmined,5.0
Kara-E,1001.4,2.4,Indicated,Unmined,1.0
Kara-N,1808.1,5.72,Inferred,Premined,3.0
Kara-N,2581.5,6.62,Measured,Mined,5.0
Kara-S,1964.9,3.81,Measured,Unmined,1.0
Kara-S,3755.7,1.03,Measured,Premined,1.0
Kara-W,1947.1,11.12,Measured,Premined,5.0
Kara-W,1277.7,3.73,Inferred,Mined,3.0
Kara-N,2943.4,2.31,Inferred,Premined,2.0
Kara-S,4060.8,11.8,Indicated,Premined,4.0
Kara-E,3912.9,4.42,Measured,Unmined,4.0
Kara-N,1970.8,4.21,Indicated,Unmined,5.0
Kara-S,2426.8,7.51,Indicated,Premined,5.0
Kara-S,922.7,11.26,Measured,Premined,5.0
Kara-E,3252.5,8.63,Measured,Mined,1.0
Kara-W,4275.2,9.0,Measured,Premined,5.0
Kara-S,2215.1,11.57,Measured,Unmined,3.0
Kara-N,410.7,3.55,Inferred,Mined,3.0
Kara-W,4877.9,1.93,Measured,Unmined,2.0
Kara-W,559.2,7.25,Indicated,Unmined,2.0
Kara-S,1600.0,10.36,Indicated,Unmined,3.0
Kara-E,2373.2,3.57,Measured,Premined,5.0
Kara-N,946.0,2.81,Indicated,Mined,4.0
Kara-N,2772.4,11.61,Measured,Mined,3.0
Kara-W,1472.0,2.32,Measured,Unmined,3.0
Kara-N,1232.1,10.42,Measured,Premined,2.0
Kara-E,2102.0,1.54,Indicated,Mined,2.0
Kara-N,4770.1,10.4,Inferred,Unmined,5.0
Kara-S,654.7,2.12,Measured,Premined,1.0
Kara-N,4185.8,11.81,Measured,Premined,4.0
Kara-E,3494.2,11.31,Measured,Unmined,5.0
Kara-E,4603.7,1.82,Measured,Premined,4.0
Kara-S,641.5,10.32,Indicated,Premined,1.0
Kara-W,443.1,11.17,Indicated,Unmined,4.0
Kara-W,341.5,8.52,Measured,Mined,2.0
Kara-S,1519.9,5.91,Measured,Premined,5.0
Kara-S,3306.9,6.49,Inferred,Mined,1.0
Kara-N,1542.9,2.51,Measured,Unmined,5.0
Kara-S,3227.6,9.82,Measured,Mined,3.0
Kara-W,2813.7,6.33,Inferred,Unmined,3.0
Kara-W,1498.1,1.29,Inferred,Premined,1.0
Kara-E,481.2,11.91,Inferred,Mined,5.0
Kara-S,4875.1,2.1,Inferred,Premined,3.0
Kara-N,3867.4,11.43,Inferred,Mined,3.0
Kara-S,1045.3,7.52,Inferred,Unmined,3.0
Kara-N,3576.6,4.87,Inferred,Unmined,2.0
Kara-S,4216.1,9.91,Indicated,Unmined,3.0
Kara-S,2554.1,1.99,Measured,Unmined,2.0
Kara-N,2727.0,1.01,Inferred,Premined,2.0
Kara-E,3641.3,11.11,Indicated,Premined,1.0
Kara-S,3015.7,11.09,Measured,Unmined,3.0
Kara-N,1993.2,11.36,Indicated,Unmined,1.0
Kara-E,1648.5,2.5,Measured,Unmined,4.0
Kara-W,3316.1,2.92,Inferred,Unmined,5.0
Kara-E,1271.5,7.48,Measured,Mined,3.0
Kara-E,811.3,9.02,Inferred,Unmined,4.0
Kara-N,1074.0,4.5,Inferred,Premined,5.0
Kara-N,4696.1,2.55,Inferred,Premined,2.0
Kara-E,4915.4,2.85,Measured,Unmined,3.0
Kara-W,254.7,3.31,Inferred,Premined,3.0
Kara-E,3977.7,8.92,Measured,Mined,4.0
Kara-W,4851.7,10.73,Indicated,Mined,3.0
Kara-W,686.9,6.27,Inferred,Unmined,2.0
Kara-S,2366.2,9.79,Measured,Mined,1.0
Kara-E,1453.4,2.15,Indicated,Premined,4.0
Kara-S,3713.5,7.02,Measured,Mined,5.0
Kara-W,3581.6,5.74,Inferred,Premined,5.0
Kara-W,954.1,2.11,Measured,Premined,4.0
Kara-E,3370.9,4.27,Measured,Premined,4.0
Kara-W,937.2,4.97,Indicated,Premined,3.0
Kara-W,1158.4,1.28,Measured,Unmined,3.0
